FAST, Exetime, BrMis, DL1lat, IPC, uIPC, rawInst,
CRAFTY ,1.589, 2.5, 4.6, 1.47, 2.88, 8995495, 
SWIM ,7.776, 0.0, 36.7, 0.30, 0.91, 8998870, 
MCF ,2.289, 3.9, 24.3, 1.02, 1.68, 8999567, 
VPR ,1.858, 2.5, 6.6, 1.26, 3.07, 8955557, 
GCC ,2.780, 4.6, 22.9, 0.84, 1.64, 8606933, 
BLACKSCHOLES ,2.314, 0.0, 0.0, 1.01, 3.64, 8772245, 
FACESIM ,3.706, 0.7, 5.8, 0.63, 3.18, 8785844, 
FFT ,2.378, 0.2, 6.2, 0.98, 3.57, 8700662, 
OCEAN ,5.902, 0.0, 67.7, 0.40, 1.10, 8913430, 
