SLOW, Exetime, BrMis, DL1lat, IPC, uIPC, rawInst,
CRAFTY ,2.494, 10.5, 4.5, 0.94, 1.82, 8995495, 
SWIM ,15.016, 0.0, 24.8, 0.16, 0.47, 8998870, 
MCF ,4.566, 12.7, 20.7, 0.51, 0.84, 8999567, 
VPR ,3.201, 8.5, 6.0, 0.73, 1.77, 8955557, 
GCC ,4.735, 15.9, 15.8, 0.49, 0.96, 8606933, 
BLACKSCHOLES ,4.327, 0.3, 0.0, 0.54, 1.95, 8772245, 
FACESIM ,3.706, 0.7, 5.8, 0.63, 3.18, 8785844, 
FFT ,4.340, 0.5, 5.5, 0.54, 1.95, 8700662, 
OCEAN ,9.998, 0.1, 34.4, 0.23, 0.65, 8913514, 
